"id","country","variable","coarse_level_name","coarse_source_name","coarse_source_url","fine_level_name","fine_source_name","fine_source_url","notes","status"
"11","オーストラリア","推計人口 (Estimated Resident Population)","州・準州 (State/Territory)","ABS, National, state and territory population","https://www.abs.gov.au/statistics/people/population/national-state-and-territory-population/latest-release","地方自治体地域 (Local Government Area, LGA)","ABS, Regional Population","https://www.abs.gov.au/statistics/people/population/regional-population/latest-release","同じABSの人口推計プログラムに基づくため、LGAの合計は州の合計と整合する。XLSXで無料ダウンロード可、登録不要。より細かいSA2単位のデータも同じ発表の中にあり。","done"
"12","オーストラリア","個人所得 (Personal Income)","州・準州 (State/Territory)","ABS, Personal Income in Australia — Table 1","https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/personal-income-australia/2022-23/Table%201%20-%20Total%20income%2C%20earners%20and%20summary%20statistics%20by%20geography%2C%202018-19%20to%202022-23.xlsx","SA2 (Statistical Area Level 2、小地域統計区)","ABS, Personal Income in Australia — Table 3","https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/personal-income-australia/2022-23/Table%203%20-%20Total%20income%20distribution%20by%20geography%2C%202022-23.xlsx","2018-19〜2022-23年度をカバー、XLSX形式、登録不要・無料。同じ発表（release）内の別表なので定義が共通。","done"
"13","ドイツ","人口（性別内訳）","州 (Bundesland)","Regionalstatistik.de（連邦・州共同統計ポータル）表12411-01-01-4","https://www.regionalstatistik.de/genesis/online?operation=download&code=12411-01-01-4&option=csv","市町村 (Gemeinde、約13,567件)","Regionalstatistik.de 表12411-01-01-5","https://www.regionalstatistik.de/genesis/online?operation=download&code=12411-01-01-5&option=csv","CSV直接ダウンロード（文字コードはWindows-1252、区切り文字は;）、登録不要。同一ファイル内にドイツ全体／州／郡(Kreis)／市町村が階層構造で含まれる。xlsx版も同URLのoptionパラメータをxlsxに変えれば取得可。 / 【追記】実際には表12411-01-01-5（Gemeinden）1つの中に州(2桁コード)〜市町村(8桁コード)まで全階層が含まれていたため、コード桁数で州行(16件)と市町村行(10,659件)を抽出して利用した。総人口と男性割合の相関が+0.357→-0.110で逆転。","done"
"14","ドイツ","平均年齢 (Durchschnittsalter der Bevölkerung)","州 (Bundesland)","Regionalstatistik.de 表12411-07-01-4","https://www.regionalstatistik.de/genesis/online?operation=download&code=12411-07-01-4&option=csv","市町村 (Gemeinde)","Regionalstatistik.de 表12411-07-01-5","https://www.regionalstatistik.de/genesis/online?operation=download&code=12411-07-01-5&option=csv","州平均は44〜49歳程度に収まるが、市町村単位では43〜57歳程度までばらつきが広がることを確認済み。集計単位による見え方の違いを示す好例。CSV直接ダウンロード、登録不要。","done"
"15","EU","人口 (Population on 1 January)","NUTS2地域","Eurostat, demo_r_d2jan","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_r_d2jan?format=JSON&lang=en&sex=T&age=TOTAL&time=2023&geo=DE21","NUTS3地域","Eurostat, demo_r_pjangrp3","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_r_pjangrp3?format=JSON&lang=en&sex=T&age=TOTAL&time=2023&geo=DE212","Eurostat公式APIのJSON応答で実数値を確認済み（例: NUTS2 Oberbayern 4,705,040人 vs NUTS3 München市 1,490,516人、2023年）。URLのgeo/time等のパラメータを変えればEU域内どの国・年でも無料取得可、登録不要。人間向けの画面（Data Browser）はJavaScript描画のため直接確認できないが、同じデータをAPI経由で取得できる。","done"
"16","フランス","人口 (population municipale, 法定人口)","県 (Département) / 地域圏 (Région)","INSEE「Populations légales 2021」県別法定人口","https://www.insee.fr/fr/statistiques/7728787?sommaire=7728826","コミューン (Commune)","INSEE「Populations légales 2021」県別コミューン一覧ダウンロード","https://www.insee.fr/fr/statistiques/7728806?sommaire=7728826","県ごとのファイル（PDF・Excel）でコミューンごとの人口が確認できる。2024年1月に政令で確定、基準日は2021年1月1日。無料、登録不要。 / 【追記】coarse_source_url・fine_source_urlはどちらもINSEEのポータルページで、実際のダウンロード可能ファイルは同じデータセット(id 7739582)内の「ensemble.xlsx」（France entière、約2.4MB）1つに、Régions/Départements/Communes等の全階層がシート分けで含まれていることを確認した。そこからDépartementsシート(100件)とCommunesシート(34,964件)を抽出して利用した。基準日は2021年1月1日、2024年1月1日時点で有効。","done"
"17","フランス","出生数 (naissances vivantes)","県 (Département) / 地域圏 (Région)","INSEE「県・地域圏別の出生数（母親の居住地ベース）」","https://www.insee.fr/fr/statistiques/8582142?sommaire=8582147","コミューン (Commune)","INSEE「Naissances de 2008 à 2024/2025」コミューン別出生数","https://www.insee.fr/fr/statistiques/1893255","県・地域圏データは1901〜2024年の長期系列、コミューンデータは2008〜2025年をCSV/Excel/Parquetでダウンロード可。無料、登録不要。コミューン版はarrondissement等の他の単位も含むため、コミューン列を抽出して使う必要あり。 / 【追記】fine_source_url先のExcelファイル(base_naissances_2008-2025_geo2026_xlsx.zip)にCOM(コミューン)とDEP(県)両方のシートが同じ年次系列(2008-2025)で含まれていたため、両方をそこから抽出して利用した。2024年出生数と2008→2024年増減率の相関が+0.5385→+0.0117で約98%縮小(符号は同じ)。","done"
"18","フランス","人口・所得・貧困率・雇用率など複合指標 (Dossier complet)","地域圏 (Région)","INSEE「Dossier complet」イル＝ド＝フランス地域圏版","https://www.insee.fr/fr/statistiques/2011101?geo=REG-11","コミューン (Commune)","INSEE「Dossier complet」パリ市版","https://www.insee.fr/fr/statistiques/2011101?geo=COM-75056","同一データセット(id 2011101)をgeo=パラメータ（COM-xxxxx／DEP-xx／REG-xx）で切り替えるだけで、同じページ構成・同じ年（2023年）のまま集計単位だけが変わる、集計バイアスの説明に特に使いやすい候補。実データも確認済み（パリ市人口2,103,778人・所得中央値33,650ユーロ、イル＝ド＝フランス地域圏人口12,463,067人・所得中央値28,210ユーロ）。無料、登録不要。ダウンロード用のXLSX/CSVも表内に用意されている。 / 【追記】実際には2026-07-20の8回目セッションで既に処理済み（results/summary_table.csv id=114〜191、results/aggregation_effect_log.mdの「8回目：フランス」の節）だったが、statusの更新が漏れていたため今回訂正した。","done"
"19","アメリカ","失業率 (Unemployment Rate, LAUS)","州 (State)","BLS Local Area Unemployment Statistics (LAUS), Public Data API v2","https://api.bls.gov/publicAPI/v2/timeseries/data/?seriesid=LASST010000000000003","郡 (County)","BLS Local Area Unemployment Statistics (LAUS), Public Data API v2","https://api.bls.gov/publicAPI/v2/timeseries/data/?seriesid=LAUCN010010000000003","www.bls.gov・download.bls.govの一括テキストファイルはこの環境からはHTTP 403で直接ダウンロードできなかったが、同じデータを公式のBLS Public Data API v2（api.bls.gov、登録不要・無料、1日25クエリ/1クエリ25系列まで）経由でJSON形式で取得できることをPOST/GETリクエストで確認済み（例: LASST060000000000003＝カリフォルニア州失業率2026年5月5.3%、LAUCN060010000000003＝アラメダ郡失業率2026年5月3.8%、実際にHTTP 200・実データを取得済み）。州は50州+DC(51件)、郡は全米約3,000超。系列IDは LASST+州FIPS2桁+ゼロ埋め+測定コード(03=失業率)、LAUCN+郡FIPS5桁+ゼロ埋め+測定コード(03)の規則。POSTで複数系列を一括取得可能（1回25件まで）。 【注意】APIキー未登録の場合は1日25クエリ・1クエリ最大25系列までの制限があるため、郡(County、全米3000超)を全件取得するには複数日に分けるか、対象を一部の州に絞る（例：カリフォルニア州の58郡、テキサス州の254郡など）などの工夫が必要。 / 【追記】BLS Public Data API v2(登録不要)経由で州51件(50州+DC)は全件取得。郡は無登録時25系列/リクエストの制限のため、各州の郡コード001・003番を系統的にサンプリングし95件を取得(アラスカ・コネチカット・サウスダコタの一部コードは系列が存在せず欠落)。失業率という単一変数の州単位vs郡単位でのばらつき(標準偏差・範囲)を比較。範囲が4.0→8.2ポイント(約2.05倍)に拡大。","done"
"20","アメリカ","貧困率・世帯所得中位値 (SAIPE, Small Area Income and Poverty Estimates)","州 (State)","U.S. Census Bureau, SAIPE 2023 State and County Estimates","https://www2.census.gov/programs-surveys/saipe/datasets/2023/2023-state-and-county/est23all.xls","郡 (County)","U.S. Census Bureau, SAIPE 2023 State and County Estimates（同一ファイル）","https://www2.census.gov/programs-surveys/saipe/datasets/2023/2023-state-and-county/est23all.xls","1つのxlsファイル(est23all.xls、約1.1MB、HTTP 200で取得確認済み)の中に、州行(郡コード=000)と郡行(郡コード!=000)が同じ形式で混在しており、コード桁数・郡コードで両方を抽出できる。列には貧困率・中位世帯所得などが含まれる想定(id=13のドイツ・id=16のフランスと同じ「1ファイルに全階層」パターン)。登録不要・無料。","done"
"21","EU","域内総生産 (GDP at current market prices)","NUTS2地域","Eurostat, nama_10r_2gdp","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10r_2gdp?format=JSON&lang=en&unit=MIO_EUR&time=2022&geo=DE21","NUTS3地域","Eurostat, nama_10r_3gdp","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10r_3gdp?format=JSON&lang=en&unit=MIO_EUR&time=2022&geo=DE212","id=15と同じくEurostat公式APIのJSON応答で実数値を確認済み(例: NUTS2 Oberbayern 2022年 328,384.19百万ユーロ vs NUTS3 München市 141,773.14百万ユーロ)。geo/timeパラメータを変えればEU域内どの国・年でも無料取得可、登録不要。id=15(人口)とは別の変数(GDP)で、地域の人口規模との相関(id=12オーストラリアのパターン)や、人口あたりGDP等の分析に使える。／【追記】実際にEurostat公式APIで2022年のGDP(nama_10r_2gdp/nama_10r_3gdp)と人口(demo_r_d2jan/demo_r_pjangrp3)を取得し、NUTS2(n=286)・NUTS3(n=1318)でGDPと人口の相関を比較(0.7604→0.7317、符号同じ、classification=similar)。詳細はresults/aggregation_effect_log.md参照。","done"
"22","アメリカ","域内総生産 (GDP by County/State, Real GDP・Current-dollar GDP)","州 (State)","Bureau of Economic Analysis (BEA), GDP by County and Metropolitan Area","https://apps.bea.gov/regional/zip/CAGDP1.zip","郡 (County)","Bureau of Economic Analysis (BEA), GDP by County and Metropolitan Area（同一ファイル）","https://apps.bea.gov/regional/zip/CAGDP1.zip","id=5(個人所得)のCAINC1.zipと同じパターンで、1つのZIP内の全地域結合ファイル(CAGDP1__ALL_AREAS_2001_2024.csv、約9,566行)にGeoFIPSコードが""00000""(全米合計)・州コード+""000""(例:""01000""=アラバマ州)・郡コード(例:""01001""=Autauga郡)の3階層が混在しており、コードの末尾3桁が""000""かどうかで州(51件、50州+DC)と郡(約3,000超)を抽出できることをcurlでのダウンロード・展開・中身確認済み(HTTP200、2001〜2024年、LineCode=1が実質GDP、LineCode=3が名目GDP)。登録不要・無料。人口等と組み合わせて相関分析する場合は、id=4のCensus Bureau人口推計(州・郡)と地域コード(FIPS)で突合できる。／【追記】実際にBEAのCAGDP1.zip(GDP by County and Metropolitan Area)を取得し、2024年の名目GDPと2014→2024年増減率(%)の相関を州(n=51)・郡(n=3104)で比較(0.2220→0.0952で相対-57%縮小、符号は同じプラス)。州単位の相関はp=0.1175で有意水準5%では有意でないが郡単位はp=1.07e-07で極めて有意という、有意性が逆転する珍しいケース。詳細はresults/aggregation_effect_log.md参照。","done"
"23","EU","観光宿泊者数 (Nights spent at tourist accommodation establishments)","NUTS2地域","Eurostat, tour_occ_nin2","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/tour_occ_nin2?format=JSON&lang=en&geo=DE21&time=2023","NUTS3地域","Eurostat, tour_occ_nin3","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/tour_occ_nin3?format=JSON&lang=en&geo=DE212&time=2023","id=15(人口)・id=21(GDP)と同じくEurostat公式API(登録不要)。curlで実際にJSON応答を確認済み(tour_occ_nin2: geo=DE21(オーバーバイエルン, NUTS2)で2023年の宿泊者数等の実数値を取得。tour_occ_nin3: geo=DE212(ミュンヘン市, NUTS3)でも同様に実数値を取得)。unit=NR(宿泊数)・c_resid=TOTAL等の次元を指定すれば都道府県のように地域ごとの値を抽出できる。observation単位は宿泊数(延べ人泊数)で、人口や所得とは異なる「経済活動・観光」分野の新しい変数のため、これまでのEU候補(id=15人口、id=21GDP)とは異なる集計バイアスのパターンが見られる可能性がある。 【追記】Eurostat公式API(tour_occ_nin2/tour_occ_nin3)で観光宿泊者数(2023年、unit=NR、宿泊施設合計I551-I553)を取得し、id=15・id=21と同じ人口データ(demo_r_d2jan/demo_r_pjangrp3)と組み合わせて相関を比較(NUTS2 n=297: corr=0.5238, NUTS3 n=1267: corr=0.5973、相対+14.0%、符号同じプラス、classification=similar)。詳細はresults/aggregation_effect_log.md参照。","done"
"24","EU","就業者数 (Employed persons)","NUTS2地域","Eurostat, lfst_r_lfe2emp","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/lfst_r_lfe2emp?format=JSON&lang=en&sex=T&age=Y15-64&geo=DE21&time=2022","NUTS3地域","Eurostat, nama_10r_3empers","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10r_3empers?format=JSON&lang=en&unit=THS&wstatus=EMP&geo=DE212&time=2022","id=15・id=21・id=23と同じくEurostat公式API(登録不要)。curlで実際にJSON応答を確認済み(lfst_r_lfe2emp: geo=DE21で2022年の就業者数(千人)の実数値を取得。nama_10r_3empers: geo=DE212でも同様に実数値を取得)。単位はどちらも「千人(THS/THS_PER)」で一致するが、【注意】lfst_r_lfe2empは労働力調査(LFS)ベース、nama_10r_3empersは国民経済計算(national accounts)ベースと、算出方法(データソース)が異なるため、厳密には完全に同じ定義の変数ではない可能性がある(id=8のGDHI/MSOA所得推計と同様の注意点)。NUTS2側にはage区分(Y15-64等)・sex区分(T/M/F)があるので、sex=T・年齢区分は15-64歳(Y15-64)またはY_GE15等、NUTS3側と揃えられる区分を選んで使う必要がある。","done"
"25","オーストラリア","失業率・労働力状態 (Unemployment Rate / Labour Force Status)","州・準州 (State/Territory)","ABS, Labour Force, Australia, Detailed — Table 02","https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia-detailed/latest-release/6291002.xlsx","SA4 (Statistical Area Level 4)","ABS, Labour Force, Australia, Detailed — Modelled estimates by SA4 (MRM1)","https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia-detailed/latest-release/MRM1.xlsx","id=11・id=12と同じABSのデータ、登録不要・無料。州別ファイル(6291002.xlsx、表02「Labour force status by state, territory...」、約4.3MB)とSA4別モデル推計ファイル(MRM1.xlsx、約1.0MB)を実際にcurlでダウンロードし、どちらも有効なxlsxファイル(複数シート含む)であることを確認済み。【注意】SA4データは「modelled estimates(モデル推計値)」であり、州データ(サーベイ集計値)とは算出方法が異なる点に留意が必要(id=8と同様の注意点)。LGA単位はSA4よりさらに細かいがABS労働力調査では直接公表されていない模様なので、SA4を細かい集計単位として採用する。","done"
"26","アメリカ","教育水準 (Bachelor's degree以上の割合、ACS)","州 (State)","U.S. Census Bureau, American Community Survey 5-Year Estimates, Table B15003 (Educational Attainment)","https://api.census.gov/data/2022/acs/acs5?get=NAME,B15003_001E,B15003_022E,B15003_023E,B15003_024E,B15003_025E&for=state:*&key=<CENSUS_API_KEY>","郡 (County)","U.S. Census Bureau, American Community Survey 5-Year Estimates, Table B15003（同一変数）","https://api.census.gov/data/2022/acs/acs5?get=NAME,B15003_001E,B15003_022E,B15003_023E,B15003_024E,B15003_025E&for=county:*&in=state:*&key=<CENSUS_API_KEY>","docs/api_requirements.mdに記載済みのCensus Bureau APIキーで、州・郡両方とも実際にcurlでHTTP 200・実データ取得を確認済み（例: アラバマ州 B15003_001E=3,428,520人・B15003_022E(学士号)=572,252人、Autauga郡(アラバマ州) B15003_001E=40,188人・B15003_022E=6,726人）。B15003_001E=25歳以上人口（教育水準集計対象）、B15003_022E〜025E=学士号・修士号・専門学位・博士号の人数で、これらを合計してB15003_001Eで割れば「学士号以上の割合」が算出できる。id=4・id=5・id=19・id=20・id=22と同じ2022年5年推計(ACS5)で、州・郡ともに同一調査・同一年のため定義のずれが少ない。","done"
"27","アメリカ","住宅価格中央値 (Median Home Value, ACS)","州 (State)","U.S. Census Bureau, American Community Survey 5-Year Estimates, Table B25077 (Median Value for Owner-Occupied Housing Units)","https://api.census.gov/data/2022/acs/acs5?get=NAME,B25077_001E&for=state:*&key=<CENSUS_API_KEY>","郡 (County)","U.S. Census Bureau, American Community Survey 5-Year Estimates, Table B25077（同一変数）","https://api.census.gov/data/2022/acs/acs5?get=NAME,B25077_001E&for=county:*&in=state:*&key=<CENSUS_API_KEY>","id=26と同じCensus Bureau API・同じACS5(2022年)。州・郡両方とも実際にcurlでHTTP 200・実データ取得を確認済み（例: アラバマ州の住宅価格中央値=179,400ドル、Autauga郡(アラバマ州)=191,800ドル）。単一変数のみのため、id=5(個人所得)やid=20(貧困率・所得)と組み合わせて相関を見るか、id=19・id=25と同様にばらつき(標準偏差・範囲)の変化を見る手法が使える。","done"
"28","イギリス","住宅価格中央値 (Median price paid, all house types)","地域 (Region) / 国 (Country)","ONS「House Price Statistics for Small Areas」HPSSA dataset 9、表1a","https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/housing/datasets/medianhousepricefornationalandsubnationalgeographiesquarterlyrollingyearhpssadataset09/current/hpssadataset9medianpricepaidforadministrativegeographies.xls","地方自治体 (Local Authority)","ONS「House Price Statistics for Small Areas」HPSSA dataset 9、表2a（同一ファイル）","https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/housing/datasets/medianhousepricefornationalandsubnationalgeographiesquarterlyrollingyearhpssadataset09/current/hpssadataset9medianpricepaidforadministrativegeographies.xls","1つの.xlsファイル(約2.2MB、HTTP 200、Open Government Licence v3.0、登録不要)の中に、シート「1a」（地域・国別、England and Wales全体・England全体・9地域・Wales全体の中央値住宅価格、1995年12月〜2023年3月の四半期移動年）とシート「2a」（地方自治体別、331件、同じ期間・同じ手法）が両方含まれていることをxlrd(Pythonライブラリ)で実際に開いて確認済み。以前(id=22処理時)に候補として検討したHM Land Registryの直接S3リンク(UK-HPI-full-file-*.csv)がHTTP 403で失敗したのとは異なるONSの公式集計データセットで、こちらは実際にダウンロード・パース済み。両シートとも「Code/Region・Country code」「Name」列と、同一の四半期移動年ラベルの列（最新列は『Year ending Mar 2023』）を持つため、地域(10件: 9地域+Wales、Englandとイングランド・ウェールズ全体の合計行は除く)と地方自治体(331件)を同じ変数・同じ期間で比較できる。","pending"
