"id","country","variable","coarse_level","coarse_stat","fine_level","fine_stat","diff_type","notes","coarse_significant_p05","fine_significant_p05"
"","Italy","age14_rate vs age100_plus_rate","regione(n=21)","corr=-0.669","comune(n=7896)","corr=-0.12","magnitude_change","IstatData SDMX API resident population on 1 January, 2025. Coarse flow 22_289_DF_DCIS_POPRES1_2 = 21 NUTS2 region-level units (Bolzano/Trento as autonomous province region-level units; duplicate ITDA and ITZZ excluded). Fine flow 22_289_DF_DCIS_POPRES1_24 = all municipality(comune) rows. Raw exact-age counts converted to per-1000-population rates; 2026 estimated rows returned by API are ignored.","yes","yes"
"","Italy","age30_rate vs age50_rate","regione(n=21)","corr=-0.526","comune(n=7896)","corr=-0.048","magnitude_change","IstatData SDMX API resident population on 1 January, 2025. Coarse flow 22_289_DF_DCIS_POPRES1_2 = 21 NUTS2 region-level units (Bolzano/Trento as autonomous province region-level units; duplicate ITDA and ITZZ excluded). Fine flow 22_289_DF_DCIS_POPRES1_24 = all municipality(comune) rows. Raw exact-age counts converted to per-1000-population rates; 2026 estimated rows returned by API are ignored.","yes","yes"
"","Italy","age30_rate vs age65_rate","regione(n=21)","corr=-0.617","comune(n=7896)","corr=-0.12","magnitude_change","IstatData SDMX API resident population on 1 January, 2025. Coarse flow 22_289_DF_DCIS_POPRES1_2 = 21 NUTS2 region-level units (Bolzano/Trento as autonomous province region-level units; duplicate ITDA and ITZZ excluded). Fine flow 22_289_DF_DCIS_POPRES1_24 = all municipality(comune) rows. Raw exact-age counts converted to per-1000-population rates; 2026 estimated rows returned by API are ignored.","yes","yes"
"","Italy","age30_rate vs age85_rate","regione(n=21)","corr=-0.708","comune(n=7896)","corr=-0.149","magnitude_change","IstatData SDMX API resident population on 1 January, 2025. Coarse flow 22_289_DF_DCIS_POPRES1_2 = 21 NUTS2 region-level units (Bolzano/Trento as autonomous province region-level units; duplicate ITDA and ITZZ excluded). Fine flow 22_289_DF_DCIS_POPRES1_24 = all municipality(comune) rows. Raw exact-age counts converted to per-1000-population rates; 2026 estimated rows returned by API are ignored.","yes","yes"
"","Italy","age30_rate vs age100_plus_rate","regione(n=21)","corr=-0.398","comune(n=7896)","corr=-0.038","magnitude_change","IstatData SDMX API resident population on 1 January, 2025. Coarse flow 22_289_DF_DCIS_POPRES1_2 = 21 NUTS2 region-level units (Bolzano/Trento as autonomous province region-level units; duplicate ITDA and ITZZ excluded). Fine flow 22_289_DF_DCIS_POPRES1_24 = all municipality(comune) rows. Raw exact-age counts converted to per-1000-population rates; 2026 estimated rows returned by API are ignored.","no","yes"
"","Italy","age50_rate vs age65_rate","regione(n=21)","corr=0.025","comune(n=7896)","corr=-0.116","magnitude_change","IstatData SDMX API resident population on 1 January, 2025. Coarse flow 22_289_DF_DCIS_POPRES1_2 = 21 NUTS2 region-level units (Bolzano/Trento as autonomous province region-level units; duplicate ITDA and ITZZ excluded). Fine flow 22_289_DF_DCIS_POPRES1_24 = all municipality(comune) rows. Raw exact-age counts converted to per-1000-population rates; 2026 estimated rows returned by API are ignored.","no","yes"
"","Italy","age50_rate vs age85_rate","regione(n=21)","corr=0.278","comune(n=7896)","corr=-0.115","reversed","IstatData SDMX API resident population on 1 January, 2025. Coarse flow 22_289_DF_DCIS_POPRES1_2 = 21 NUTS2 region-level units (Bolzano/Trento as autonomous province region-level units; duplicate ITDA and ITZZ excluded). Fine flow 22_289_DF_DCIS_POPRES1_24 = all municipality(comune) rows. Raw exact-age counts converted to per-1000-population rates; 2026 estimated rows returned by API are ignored.","no","yes"
"","Italy","age50_rate vs age100_plus_rate","regione(n=21)","corr=0.049","comune(n=7896)","corr=-0.082","magnitude_change","IstatData SDMX API resident population on 1 January, 2025. Coarse flow 22_289_DF_DCIS_POPRES1_2 = 21 NUTS2 region-level units (Bolzano/Trento as autonomous province region-level units; duplicate ITDA and ITZZ excluded). Fine flow 22_289_DF_DCIS_POPRES1_24 = all municipality(comune) rows. Raw exact-age counts converted to per-1000-population rates; 2026 estimated rows returned by API are ignored.","no","yes"
"","Italy","age65_rate vs age85_rate","regione(n=21)","corr=0.474","comune(n=7896)","corr=0.146","magnitude_change","IstatData SDMX API resident population on 1 January, 2025. Coarse flow 22_289_DF_DCIS_POPRES1_2 = 21 NUTS2 region-level units (Bolzano/Trento as autonomous province region-level units; duplicate ITDA and ITZZ excluded). Fine flow 22_289_DF_DCIS_POPRES1_24 = all municipality(comune) rows. Raw exact-age counts converted to per-1000-population rates; 2026 estimated rows returned by API are ignored.","yes","yes"
"","Italy","age65_rate vs age100_plus_rate","regione(n=21)","corr=0.552","comune(n=7896)","corr=0.062","magnitude_change","IstatData SDMX API resident population on 1 January, 2025. Coarse flow 22_289_DF_DCIS_POPRES1_2 = 21 NUTS2 region-level units (Bolzano/Trento as autonomous province region-level units; duplicate ITDA and ITZZ excluded). Fine flow 22_289_DF_DCIS_POPRES1_24 = all municipality(comune) rows. Raw exact-age counts converted to per-1000-population rates; 2026 estimated rows returned by API are ignored.","yes","yes"
"","Italy","age85_rate vs age100_plus_rate","regione(n=21)","corr=0.735","comune(n=7896)","corr=0.149","magnitude_change","IstatData SDMX API resident population on 1 January, 2025. Coarse flow 22_289_DF_DCIS_POPRES1_2 = 21 NUTS2 region-level units (Bolzano/Trento as autonomous province region-level units; duplicate ITDA and ITZZ excluded). Fine flow 22_289_DF_DCIS_POPRES1_24 = all municipality(comune) rows. Raw exact-age counts converted to per-1000-population rates; 2026 estimated rows returned by API are ignored.","yes","yes"
